iter	nb_kernel	alpha	layer
2000	256	0.0001	6
3000	256	0.0001	6
4000	256	0.0001	6
5000	256	0.0001	6
6000	256	0.0001	6
7000	256	0.0001	6
8000	256	0.0001	6
9000	256	0.0001	6
10000	256	0.0001	6
11000	256	0.0001	6
12000	256	0.0001	6
13000	256	0.0001	6
14000	256	0.0001	6
15000	256	0.0001	6
16000	256	0.0001	6
17000	256	0.0001	6
18000	256	0.0001	6
19000	256	0.0001	6
20000	256	0.0001	6
21000	256	0.0001	6
22000	256	0.0001	6
23000	256	0.0001	6
24000	256	0.0001	6
25000	256	0.0001	6
26000	256	0.0001	6
27000	256	0.0001	6
28000	256	0.0001	6
29000	256	0.0001	6
30000	256	0.0001	6
31000	256	0.0001	6
32000	256	0.0001	6
33000	256	0.0001	6
34000	256	0.0001	6
35000	256	0.0001	6
36000	256	0.0001	6
37000	256	0.0001	6
38000	256	0.0001	6
39000	256	0.0001	6
40000	256	0.0001	6
41000	256	0.0001	6
42000	256	0.0001	6
43000	256	0.0001	6
44000	256	0.0001	6
45000	256	0.0001	6
46000	256	0.0001	6
47000	256	0.0001	6
48000	256	0.0001	6
49000	256	0.0001	6
50000	256	0.0001	6
100	256	0.001	6
1000	256	0.001	6
2000	256	0.001	6
3000	256	0.001	6
4000	256	0.001	6
5000	256	0.001	6
6000	256	0.001	6
7000	256	0.001	6
8000	255	0.001	6
9000	246	0.001	6
10000	244	0.001	6
11000	243	0.001	6
12000	242	0.001	6
13000	241	0.001	6
14000	241	0.001	6
15000	236	0.001	6
16000	235	0.001	6
17000	235	0.001	6
18000	235	0.001	6
19000	234	0.001	6
20000	234	0.001	6
21000	234	0.001	6
22000	234	0.001	6
23000	234	0.001	6
24000	234	0.001	6
25000	234	0.001	6
26000	234	0.001	6
27000	234	0.001	6
28000	234	0.001	6
29000	234	0.001	6
30000	234	0.001	6
31000	234	0.001	6
32000	234	0.001	6
33000	234	0.001	6
34000	234	0.001	6
35000	234	0.001	6
36000	234	0.001	6
37000	234	0.001	6
38000	234	0.001	6
39000	234	0.001	6
40000	234	0.001	6
41000	234	0.001	6
42000	234	0.001	6
43000	234	0.001	6
44000	234	0.001	6
45000	234	0.001	6
46000	234	0.001	6
47000	234	0.001	6
48000	234	0.001	6
49000	234	0.001	6
50000	234	0.001	6
100	256	0.1	6
1000	256	0.1	6
2000	256	0.1	6
3000	256	0.1	6
4000	256	0.1	6
5000	256	0.1	6
6000	256	0.1	6
7000	256	0.1	6
8000	256	0.1	6
9000	256	0.1	6
10000	256	0.1	6
11000	256	0.1	6
12000	256	0.1	6
13000	256	0.1	6
14000	256	0.1	6
15000	256	0.1	6
16000	256	0.1	6
17000	252	0.1	6
18000	255	0.1	6
19000	256	0.1	6
20000	255	0.1	6
21000	254	0.1	6
22000	255	0.1	6
23000	255	0.1	6
24000	252	0.1	6
25000	256	0.1	6
26000	254	0.1	6
27000	255	0.1	6
28000	256	0.1	6
29000	255	0.1	6
30000	255	0.1	6
31000	226	0.1	6
32000	231	0.1	6
33000	233	0.1	6
34000	231	0.1	6
35000	225	0.1	6
36000	229	0.1	6
37000	228	0.1	6
38000	227	0.1	6
39000	230	0.1	6
40000	227	0.1	6
41000	233	0.1	6
42000	227	0.1	6
43000	226	0.1	6
44000	233	0.1	6
45000	230	0.1	6
46000	127	0.1	6
47000	128	0.1	6
48000	141	0.1	6
49000	134	0.1	6
50000	127	0.1	6
100	256	0	6
1000	256	0	6
2000	256	0	6
3000	256	0	6
4000	256	0	6
5000	256	0	6
6000	256	0	6
7000	256	0	6
8000	256	0	6
9000	256	0	6
10000	256	0	6
11000	256	0	6
12000	256	0	6
13000	256	0	6
14000	256	0	6
15000	256	0	6
16000	256	0	6
17000	256	0	6
18000	256	0	6
19000	256	0	6
20000	256	0	6
21000	256	0	6
22000	256	0	6
23000	256	0	6
24000	256	0	6
25000	256	0	6
26000	256	0	6
27000	256	0	6
28000	256	0	6
29000	256	0	6
30000	256	0	6
31000	256	0	6
32000	256	0	6
33000	256	0	6
34000	256	0	6
35000	256	0	6
36000	256	0	6
37000	256	0	6
38000	256	0	6
39000	256	0	6
40000	256	0	6
41000	256	0	6
42000	256	0	6
43000	256	0	6
44000	256	0	6
45000	256	0	6
46000	256	0	6
47000	256	0	6
48000	256	0	6
49000	256	0	6
50000	256	0	6
100	256	0.01	6
1000	256	0.01	6
2000	256	0.01	6
3000	256	0.01	6
4000	256	0.01	6
5000	256	0.01	6
6000	256	0.01	6
7000	254	0.01	6
8000	252	0.01	6
9000	248	0.01	6
10000	234	0.01	6
11000	239	0.01	6
12000	218	0.01	6
13000	220	0.01	6
14000	232	0.01	6
15000	226	0.01	6
16000	45	0.01	6
17000	52	0.01	6
18000	53	0.01	6
19000	45	0.01	6
20000	46	0.01	6
21000	51	0.01	6
22000	48	0.01	6
23000	36	0.01	6
24000	42	0.01	6
25000	37	0.01	6
26000	38	0.01	6
27000	42	0.01	6
28000	37	0.01	6
29000	36	0.01	6
30000	39	0.01	6
31000	16	0.01	6
32000	16	0.01	6
33000	16	0.01	6
34000	16	0.01	6
35000	16	0.01	6
36000	16	0.01	6
37000	16	0.01	6
38000	16	0.01	6
39000	16	0.01	6
40000	16	0.01	6
41000	16	0.01	6
42000	16	0.01	6
43000	16	0.01	6
44000	16	0.01	6
45000	16	0.01	6
46000	16	0.01	6
47000	16	0.01	6
48000	16	0.01	6
49000	16	0.01	6
50000	16	0.01	6
100	64	0.0001	2
1000	64	0.0001	2
2000	64	0.0001	2
3000	64	0.0001	2
4000	64	0.0001	2
5000	64	0.0001	2
6000	64	0.0001	2
7000	64	0.0001	2
8000	64	0.0001	2
9000	64	0.0001	2
10000	64	0.0001	2
11000	64	0.0001	2
12000	64	0.0001	2
13000	64	0.0001	2
14000	64	0.0001	2
15000	64	0.0001	2
16000	64	0.0001	2
17000	64	0.0001	2
18000	64	0.0001	2
19000	64	0.0001	2
20000	64	0.0001	2
21000	64	0.0001	2
22000	64	0.0001	2
23000	64	0.0001	2
24000	64	0.0001	2
25000	64	0.0001	2
26000	64	0.0001	2
27000	64	0.0001	2
28000	64	0.0001	2
29000	64	0.0001	2
30000	64	0.0001	2
31000	64	0.0001	2
32000	64	0.0001	2
33000	64	0.0001	2
34000	64	0.0001	2
35000	64	0.0001	2
36000	64	0.0001	2
37000	64	0.0001	2
38000	64	0.0001	2
39000	64	0.0001	2
40000	64	0.0001	2
41000	64	0.0001	2
42000	64	0.0001	2
43000	64	0.0001	2
44000	64	0.0001	2
45000	64	0.0001	2
46000	64	0.0001	2
47000	64	0.0001	2
48000	64	0.0001	2
49000	64	0.0001	2
50000	64	0.0001	2
100	64	0.01	2
1000	64	0.01	2
2000	64	0.01	2
3000	64	0.01	2
4000	64	0.01	2
5000	64	0.01	2
6000	62	0.01	2
7000	63	0.01	2
8000	63	0.01	2
9000	63	0.01	2
10000	64	0.01	2
11000	64	0.01	2
12000	63	0.01	2
13000	63	0.01	2
14000	64	0.01	2
15000	64	0.01	2
16000	37	0.01	2
17000	37	0.01	2
18000	34	0.01	2
19000	36	0.01	2
20000	36	0.01	2
21000	40	0.01	2
22000	37	0.01	2
23000	33	0.01	2
24000	35	0.01	2
25000	34	0.01	2
26000	32	0.01	2
27000	38	0.01	2
28000	31	0.01	2
29000	34	0.01	2
30000	29	0.01	2
31000	1	0.01	2
32000	1	0.01	2
33000	1	0.01	2
34000	1	0.01	2
35000	1	0.01	2
36000	1	0.01	2
37000	1	0.01	2
38000	2	0.01	2
39000	2	0.01	2
40000	1	0.01	2
41000	1	0.01	2
42000	1	0.01	2
43000	1	0.01	2
44000	1	0.01	2
45000	1	0.01	2
46000	1	0.01	2
47000	1	0.01	2
48000	1	0.01	2
49000	1	0.01	2
50000	1	0.01	2
100	64	0.001	2
1000	64	0.001	2
2000	64	0.001	2
3000	64	0.001	2
4000	64	0.001	2
5000	63	0.001	2
6000	60	0.001	2
7000	59	0.001	2
8000	59	0.001	2
9000	58	0.001	2
10000	55	0.001	2
11000	53	0.001	2
12000	53	0.001	2
13000	53	0.001	2
14000	53	0.001	2
15000	52	0.001	2
16000	51	0.001	2
17000	51	0.001	2
18000	50	0.001	2
19000	49	0.001	2
20000	49	0.001	2
21000	49	0.001	2
22000	49	0.001	2
23000	49	0.001	2
24000	49	0.001	2
25000	49	0.001	2
26000	49	0.001	2
27000	49	0.001	2
28000	49	0.001	2
29000	49	0.001	2
30000	49	0.001	2
31000	49	0.001	2
32000	49	0.001	2
33000	49	0.001	2
34000	49	0.001	2
35000	49	0.001	2
36000	49	0.001	2
37000	49	0.001	2
38000	49	0.001	2
39000	49	0.001	2
40000	49	0.001	2
41000	49	0.001	2
42000	49	0.001	2
43000	49	0.001	2
44000	49	0.001	2
45000	49	0.001	2
46000	49	0.001	2
47000	49	0.001	2
48000	49	0.001	2
49000	49	0.001	2
50000	49	0.001	2
100	64	0	2
1000	64	0	2
2000	64	0	2
3000	64	0	2
4000	64	0	2
5000	64	0	2
6000	64	0	2
7000	64	0	2
8000	64	0	2
9000	64	0	2
10000	64	0	2
11000	64	0	2
12000	64	0	2
13000	64	0	2
14000	64	0	2
15000	64	0	2
16000	64	0	2
17000	64	0	2
18000	64	0	2
19000	64	0	2
20000	64	0	2
21000	64	0	2
22000	64	0	2
23000	64	0	2
24000	64	0	2
25000	64	0	2
26000	64	0	2
27000	64	0	2
28000	64	0	2
29000	64	0	2
30000	64	0	2
31000	64	0	2
32000	64	0	2
33000	64	0	2
34000	64	0	2
35000	64	0	2
36000	64	0	2
37000	64	0	2
38000	64	0	2
39000	64	0	2
40000	64	0	2
41000	64	0	2
42000	64	0	2
43000	64	0	2
44000	64	0	2
45000	64	0	2
46000	64	0	2
47000	64	0	2
48000	64	0	2
49000	64	0	2
50000	64	0	2
100	64	0.1	2
1000	64	0.1	2
2000	64	0.1	2
3000	64	0.1	2
4000	64	0.1	2
5000	64	0.1	2
6000	64	0.1	2
7000	64	0.1	2
8000	64	0.1	2
9000	64	0.1	2
10000	64	0.1	2
11000	64	0.1	2
12000	64	0.1	2
13000	64	0.1	2
14000	64	0.1	2
15000	64	0.1	2
16000	64	0.1	2
17000	64	0.1	2
18000	64	0.1	2
19000	64	0.1	2
20000	64	0.1	2
21000	64	0.1	2
22000	64	0.1	2
23000	64	0.1	2
24000	64	0.1	2
25000	64	0.1	2
26000	64	0.1	2
27000	64	0.1	2
28000	64	0.1	2
29000	64	0.1	2
30000	64	0.1	2
31000	64	0.1	2
32000	63	0.1	2
33000	64	0.1	2
34000	64	0.1	2
35000	63	0.1	2
36000	63	0.1	2
37000	63	0.1	2
38000	64	0.1	2
39000	64	0.1	2
40000	64	0.1	2
41000	63	0.1	2
42000	63	0.1	2
43000	64	0.1	2
44000	64	0.1	2
45000	64	0.1	2
46000	63	0.1	2
47000	64	0.1	2
48000	64	0.1	2
49000	62	0.1	2
50000	62	0.1	2
100	128	0.001	5
1000	128	0.001	5
2000	128	0.001	5
3000	128	0.001	5
4000	128	0.001	5
5000	128	0.001	5
6000	128	0.001	5
7000	128	0.001	5
8000	128	0.001	5
9000	128	0.001	5
10000	128	0.001	5
11000	128	0.001	5
12000	128	0.001	5
13000	128	0.001	5
14000	128	0.001	5
15000	128	0.001	5
16000	124	0.001	5
17000	124	0.001	5
18000	125	0.001	5
19000	127	0.001	5
20000	127	0.001	5
21000	128	0.001	5
22000	128	0.001	5
23000	128	0.001	5
24000	128	0.001	5
25000	128	0.001	5
26000	128	0.001	5
27000	128	0.001	5
28000	128	0.001	5
29000	128	0.001	5
30000	128	0.001	5
31000	125	0.001	5
32000	124	0.001	5
33000	124	0.001	5
34000	121	0.001	5
35000	120	0.001	5
36000	120	0.001	5
37000	121	0.001	5
38000	120	0.001	5
39000	119	0.001	5
40000	119	0.001	5
41000	119	0.001	5
42000	119	0.001	5
43000	120	0.001	5
44000	120	0.001	5
45000	120	0.001	5
46000	119	0.001	5
47000	119	0.001	5
48000	119	0.001	5
49000	119	0.001	5
50000	119	0.001	5
100	128	0.1	5
1000	128	0.1	5
2000	128	0.1	5
3000	128	0.1	5
4000	128	0.1	5
5000	128	0.1	5
6000	128	0.1	5
7000	128	0.1	5
8000	128	0.1	5
9000	128	0.1	5
10000	128	0.1	5
11000	128	0.1	5
12000	128	0.1	5
13000	128	0.1	5
14000	128	0.1	5
15000	128	0.1	5
16000	128	0.1	5
17000	128	0.1	5
18000	128	0.1	5
19000	128	0.1	5
20000	128	0.1	5
21000	128	0.1	5
22000	128	0.1	5
23000	128	0.1	5
24000	128	0.1	5
25000	128	0.1	5
26000	128	0.1	5
27000	128	0.1	5
28000	128	0.1	5
29000	128	0.1	5
30000	128	0.1	5
31000	127	0.1	5
32000	127	0.1	5
33000	127	0.1	5
34000	127	0.1	5
35000	127	0.1	5
36000	128	0.1	5
37000	126	0.1	5
38000	127	0.1	5
39000	128	0.1	5
40000	127	0.1	5
41000	127	0.1	5
42000	128	0.1	5
43000	128	0.1	5
44000	127	0.1	5
45000	127	0.1	5
46000	127	0.1	5
47000	126	0.1	5
48000	125	0.1	5
49000	126	0.1	5
50000	125	0.1	5
100	128	0	5
1000	128	0	5
2000	128	0	5
3000	128	0	5
4000	128	0	5
5000	128	0	5
6000	128	0	5
7000	128	0	5
8000	128	0	5
9000	128	0	5
10000	128	0	5
11000	128	0	5
12000	128	0	5
13000	128	0	5
14000	128	0	5
15000	128	0	5
16000	128	0	5
17000	128	0	5
18000	128	0	5
19000	128	0	5
20000	128	0	5
21000	128	0	5
22000	128	0	5
23000	128	0	5
24000	128	0	5
25000	128	0	5
26000	128	0	5
27000	128	0	5
28000	128	0	5
29000	128	0	5
30000	128	0	5
31000	128	0	5
32000	128	0	5
33000	128	0	5
34000	128	0	5
35000	128	0	5
36000	128	0	5
37000	128	0	5
38000	128	0	5
