iter	nb_kernel	alpha	layer
22000	128	0	4
23000	128	0	4
24000	128	0	4
25000	128	0	4
26000	128	0	4
27000	128	0	4
28000	128	0	4
29000	128	0	4
30000	128	0	4
31000	128	0	4
32000	128	0	4
33000	128	0	4
34000	128	0	4
35000	128	0	4
36000	128	0	4
37000	128	0	4
38000	128	0	4
39000	128	0	4
40000	128	0	4
41000	128	0	4
42000	128	0	4
43000	128	0	4
44000	128	0	4
45000	128	0	4
46000	128	0	4
47000	128	0	4
48000	128	0	4
49000	128	0	4
50000	128	0	4
100	128	0.001	4
1000	128	0.001	4
2000	128	0.001	4
3000	128	0.001	4
4000	128	0.001	4
5000	127	0.001	4
6000	123	0.001	4
7000	120	0.001	4
8000	116	0.001	4
9000	112	0.001	4
10000	111	0.001	4
11000	108	0.001	4
12000	107	0.001	4
13000	106	0.001	4
14000	105	0.001	4
15000	105	0.001	4
16000	105	0.001	4
17000	105	0.001	4
18000	105	0.001	4
19000	105	0.001	4
20000	105	0.001	4
21000	105	0.001	4
22000	105	0.001	4
23000	105	0.001	4
24000	105	0.001	4
25000	105	0.001	4
26000	105	0.001	4
27000	105	0.001	4
28000	105	0.001	4
29000	105	0.001	4
30000	105	0.001	4
31000	105	0.001	4
32000	105	0.001	4
33000	105	0.001	4
34000	105	0.001	4
35000	105	0.001	4
36000	105	0.001	4
37000	105	0.001	4
38000	105	0.001	4
39000	105	0.001	4
40000	105	0.001	4
41000	105	0.001	4
42000	105	0.001	4
43000	105	0.001	4
44000	105	0.001	4
45000	105	0.001	4
46000	105	0.001	4
47000	105	0.001	4
48000	105	0.001	4
49000	105	0.001	4
50000	105	0.001	4
100	128	0.1	4
1000	128	0.1	4
2000	128	0.1	4
3000	128	0.1	4
4000	128	0.1	4
5000	128	0.1	4
6000	128	0.1	4
7000	128	0.1	4
8000	128	0.1	4
9000	128	0.1	4
10000	128	0.1	4
11000	128	0.1	4
12000	128	0.1	4
13000	128	0.1	4
14000	128	0.1	4
15000	128	0.1	4
16000	128	0.1	4
17000	128	0.1	4
18000	128	0.1	4
19000	128	0.1	4
20000	128	0.1	4
21000	128	0.1	4
22000	128	0.1	4
23000	128	0.1	4
24000	128	0.1	4
25000	128	0.1	4
26000	128	0.1	4
27000	128	0.1	4
28000	128	0.1	4
29000	128	0.1	4
30000	128	0.1	4
31000	126	0.1	4
32000	127	0.1	4
33000	128	0.1	4
34000	127	0.1	4
35000	127	0.1	4
36000	127	0.1	4
37000	127	0.1	4
38000	127	0.1	4
39000	128	0.1	4
40000	128	0.1	4
41000	127	0.1	4
42000	128	0.1	4
43000	125	0.1	4
44000	128	0.1	4
45000	128	0.1	4
46000	126	0.1	4
47000	127	0.1	4
48000	127	0.1	4
49000	125	0.1	4
50000	127	0.1	4
100	128	0.0001	4
1000	128	0.0001	4
2000	128	0.0001	4
3000	128	0.0001	4
4000	128	0.0001	4
5000	128	0.0001	4
6000	128	0.0001	4
7000	128	0.0001	4
8000	128	0.0001	4
9000	128	0.0001	4
10000	128	0.0001	4
11000	128	0.0001	4
12000	128	0.0001	4
13000	128	0.0001	4
14000	128	0.0001	4
15000	128	0.0001	4
16000	128	0.0001	4
17000	128	0.0001	4
18000	128	0.0001	4
19000	128	0.0001	4
20000	128	0.0001	4
21000	128	0.0001	4
22000	128	0.0001	4
23000	128	0.0001	4
24000	128	0.0001	4
25000	128	0.0001	4
26000	128	0.0001	4
27000	128	0.0001	4
28000	128	0.0001	4
29000	128	0.0001	4
30000	128	0.0001	4
31000	128	0.0001	4
32000	128	0.0001	4
33000	128	0.0001	4
34000	128	0.0001	4
35000	128	0.0001	4
36000	128	0.0001	4
37000	128	0.0001	4
38000	128	0.0001	4
39000	128	0.0001	4
40000	128	0.0001	4
41000	128	0.0001	4
42000	128	0.0001	4
43000	128	0.0001	4
44000	128	0.0001	4
45000	128	0.0001	4
46000	128	0.0001	4
47000	128	0.0001	4
48000	128	0.0001	4
49000	128	0.0001	4
50000	128	0.0001	4
100	128	0.01	4
1000	128	0.01	4
2000	128	0.01	4
3000	128	0.01	4
4000	128	0.01	4
5000	127	0.01	4
6000	128	0.01	4
7000	127	0.01	4
8000	127	0.01	4
9000	126	0.01	4
10000	126	0.01	4
11000	125	0.01	4
12000	126	0.01	4
13000	126	0.01	4
14000	126	0.01	4
15000	126	0.01	4
16000	81	0.01	4
17000	87	0.01	4
18000	94	0.01	4
19000	89	0.01	4
20000	91	0.01	4
21000	95	0.01	4
22000	83	0.01	4
23000	83	0.01	4
24000	92	0.01	4
25000	82	0.01	4
26000	90	0.01	4
27000	94	0.01	4
28000	88	0.01	4
29000	79	0.01	4
30000	89	0.01	4
31000	2	0.01	4
32000	4	0.01	4
33000	11	0.01	4
34000	8	0.01	4
35000	10	0.01	4
36000	13	0.01	4
37000	10	0.01	4
38000	9	0.01	4
39000	13	0.01	4
40000	10	0.01	4
41000	10	0.01	4
42000	13	0.01	4
43000	9	0.01	4
44000	9	0.01	4
45000	12	0.01	4
46000	2	0.01	4
47000	2	0.01	4
48000	2	0.01	4
49000	2	0.01	4
50000	2	0.01	4
100	64	0.001	3
1000	64	0.001	3
2000	64	0.001	3
3000	64	0.001	3
4000	64	0.001	3
5000	64	0.001	3
6000	64	0.001	3
7000	64	0.001	3
8000	64	0.001	3
9000	64	0.001	3
10000	64	0.001	3
11000	64	0.001	3
12000	64	0.001	3
13000	64	0.001	3
14000	64	0.001	3
15000	64	0.001	3
16000	64	0.001	3
17000	64	0.001	3
18000	64	0.001	3
19000	64	0.001	3
20000	64	0.001	3
21000	64	0.001	3
22000	64	0.001	3
23000	64	0.001	3
24000	64	0.001	3
25000	64	0.001	3
26000	64	0.001	3
27000	64	0.001	3
28000	64	0.001	3
29000	64	0.001	3
30000	64	0.001	3
31000	64	0.001	3
32000	64	0.001	3
33000	64	0.001	3
34000	64	0.001	3
35000	64	0.001	3
36000	64	0.001	3
37000	64	0.001	3
38000	64	0.001	3
39000	64	0.001	3
40000	64	0.001	3
41000	64	0.001	3
42000	64	0.001	3
43000	64	0.001	3
44000	64	0.001	3
45000	64	0.001	3
46000	64	0.001	3
47000	64	0.001	3
48000	64	0.001	3
49000	64	0.001	3
50000	64	0.001	3
100	64	0.01	3
1000	64	0.01	3
2000	64	0.01	3
3000	64	0.01	3
4000	64	0.01	3
5000	64	0.01	3
6000	64	0.01	3
7000	64	0.01	3
8000	64	0.01	3
9000	64	0.01	3
10000	64	0.01	3
11000	64	0.01	3
12000	64	0.01	3
13000	64	0.01	3
14000	64	0.01	3
15000	64	0.01	3
16000	62	0.01	3
17000	59	0.01	3
18000	62	0.01	3
19000	62	0.01	3
20000	63	0.01	3
21000	64	0.01	3
22000	61	0.01	3
23000	61	0.01	3
24000	61	0.01	3
25000	60	0.01	3
26000	61	0.01	3
27000	58	0.01	3
28000	52	0.01	3
29000	58	0.01	3
30000	60	0.01	3
31000	31	0.01	3
32000	24	0.01	3
33000	27	0.01	3
34000	24	0.01	3
35000	29	0.01	3
36000	25	0.01	3
37000	27	0.01	3
38000	25	0.01	3
39000	22	0.01	3
40000	27	0.01	3
41000	23	0.01	3
42000	26	0.01	3
43000	22	0.01	3
44000	21	0.01	3
45000	22	0.01	3
46000	12	0.01	3
47000	13	0.01	3
48000	13	0.01	3
49000	15	0.01	3
50000	16	0.01	3
100	64	0.0001	3
1000	64	0.0001	3
2000	64	0.0001	3
3000	64	0.0001	3
4000	64	0.0001	3
5000	64	0.0001	3
6000	64	0.0001	3
7000	64	0.0001	3
8000	64	0.0001	3
9000	64	0.0001	3
10000	64	0.0001	3
11000	64	0.0001	3
12000	64	0.0001	3
13000	64	0.0001	3
14000	64	0.0001	3
15000	64	0.0001	3
16000	64	0.0001	3
17000	64	0.0001	3
18000	64	0.0001	3
19000	64	0.0001	3
20000	64	0.0001	3
21000	64	0.0001	3
22000	64	0.0001	3
23000	64	0.0001	3
24000	64	0.0001	3
25000	64	0.0001	3
26000	64	0.0001	3
27000	64	0.0001	3
28000	64	0.0001	3
29000	64	0.0001	3
30000	64	0.0001	3
31000	64	0.0001	3
32000	64	0.0001	3
33000	64	0.0001	3
34000	64	0.0001	3
35000	64	0.0001	3
36000	64	0.0001	3
37000	64	0.0001	3
38000	64	0.0001	3
39000	64	0.0001	3
40000	64	0.0001	3
41000	64	0.0001	3
42000	64	0.0001	3
43000	64	0.0001	3
44000	64	0.0001	3
45000	64	0.0001	3
46000	64	0.0001	3
47000	64	0.0001	3
48000	64	0.0001	3
49000	64	0.0001	3
50000	64	0.0001	3
100	64	0.1	3
1000	64	0.1	3
2000	64	0.1	3
3000	64	0.1	3
4000	64	0.1	3
5000	64	0.1	3
6000	64	0.1	3
7000	64	0.1	3
8000	64	0.1	3
9000	64	0.1	3
10000	64	0.1	3
11000	64	0.1	3
12000	64	0.1	3
13000	64	0.1	3
14000	64	0.1	3
15000	64	0.1	3
16000	64	0.1	3
17000	64	0.1	3
18000	64	0.1	3
19000	64	0.1	3
20000	64	0.1	3
21000	64	0.1	3
22000	64	0.1	3
23000	64	0.1	3
24000	64	0.1	3
25000	64	0.1	3
26000	64	0.1	3
27000	64	0.1	3
28000	64	0.1	3
29000	64	0.1	3
30000	64	0.1	3
31000	63	0.1	3
32000	63	0.1	3
33000	63	0.1	3
34000	64	0.1	3
35000	64	0.1	3
36000	64	0.1	3
37000	64	0.1	3
38000	64	0.1	3
39000	64	0.1	3
40000	64	0.1	3
41000	64	0.1	3
42000	63	0.1	3
43000	64	0.1	3
44000	63	0.1	3
45000	64	0.1	3
46000	63	0.1	3
47000	62	0.1	3
48000	64	0.1	3
49000	62	0.1	3
50000	64	0.1	3
100	64	0	3
1000	64	0	3
2000	64	0	3
3000	64	0	3
4000	64	0	3
5000	64	0	3
6000	64	0	3
7000	64	0	3
8000	64	0	3
9000	64	0	3
10000	64	0	3
11000	64	0	3
12000	64	0	3
13000	64	0	3
14000	64	0	3
15000	64	0	3
16000	64	0	3
17000	64	0	3
18000	64	0	3
19000	64	0	3
20000	64	0	3
21000	64	0	3
22000	64	0	3
23000	64	0	3
24000	64	0	3
25000	64	0	3
26000	64	0	3
27000	64	0	3
28000	64	0	3
29000	64	0	3
30000	64	0	3
31000	64	0	3
32000	64	0	3
33000	64	0	3
34000	64	0	3
35000	64	0	3
36000	64	0	3
37000	64	0	3
38000	64	0	3
39000	64	0	3
40000	64	0	3
41000	64	0	3
42000	64	0	3
43000	64	0	3
44000	64	0	3
45000	64	0	3
46000	64	0	3
47000	64	0	3
48000	64	0	3
49000	64	0	3
50000	64	0	3

