Layer_num	sz	alpha	tau_e-1	tau_e-2	tau_e-3	tau_e-4	tau_e-5
2	5	0.001	2	0	0	0	0
2	6	0.001	6	0	0	0	0
2	7	0.001	4	19	19	19	19
3	0	0.001	9	5	4	3	3
3	1	0.001	10	1	0	0	0
3	2	0.001	8	0	0	0	0
3	3	0.001	9	1	0	0	0
3	4	0.001	8	1	0	0	0
3	5	0.001	9	0	1	0	0
3	6	0.001	10	2	0	1	0
3	7	0.001	1	54	59	60	61
4	0	0.001	127	127	127	127	127
4	1	0.001	0	0	0	0	0
4	2	0.001	0	0	0	0	0
4	3	0.001	0	0	0	0	0
4	4	0.001	0	0	0	0	0
4	5	0.001	0	0	0	0	0
4	6	0.001	1	0	0	0	0
4	7	0.001	0	1	1	1	1
5	0	0.001	127	127	126	115	65
5	1	0.001	1	0	0	1	1
5	2	0.001	0	0	0	2	3
5	3	0.001	0	0	0	1	2
5	4	0.001	0	0	1	2	2
5	5	0.001	0	0	0	5	2
5	6	0.001	0	1	0	0	9
5	7	0.001	0	0	1	2	44
6	0	0.001	241	241	241	241	241
6	1	0.001	0	0	0	0	0
6	2	0.001	0	0	0	0	0
6	3	0.001	0	0	0	0	0
6	4	0.001	0	0	0	0	0
6	5	0.001	0	0	0	0	0
6	6	0.001	0	0	0	0	0
6	7	0.001	15	15	15	15	15
7	0	0.001	205	120	117	116	114
7	1	0.001	14	4	1	0	0
7	2	0.001	15	2	1	0	0
7	3	0.001	18	4	1	1	0
7	4	0.001	2	7	3	0	1
7	5	0.001	1	13	1	1	0
7	6	0.001	1	20	2	1	0
7	7	0.001	0	86	130	137	141
1	0	0.000100	24	11	11	11	11
1	1	0.000100	6	3	0	0	0
1	2	0.000100	5	4	0	0	0
1	3	0.000100	4	3	0	0	0
1	4	0.000100	0	3	1	0	0
1	5	0.000100	2	4	0	0	0
1	6	0.000100	1	3	0	0	0
1	7	0.000100	22	33	52	53	53
2	0	0.000100	0	0	0	0	0
2	1	0.000100	0	0	0	0	0
2	2	0.000100	0	0	0	0	0
2	3	0.000100	0	0	0	0	0
2	4	0.000100	1	0	0	0	0
2	5	0.000100	5	0	0	0	0
2	6	0.000100	8	0	0	0	0
2	7	0.000100	50	64	64	64	64
3	0	0.000100	0	0	0	0	0
3	1	0.000100	0	0	0	0	0
3	2	0.000100	0	0	0	0	0
3	3	0.000100	0	0	0	0	0
3	4	0.000100	0	0	0	0	0
3	5	0.000100	0	0	0	0	0
3	6	0.000100	1	0	0	0	0
3	7	0.000100	63	64	64	64	64
4	0	0.000100	0	0	0	0	0
4	1	0.000100	0	0	0	0	0
4	2	0.000100	0	0	0	0	0
4	3	0.000100	0	0	0	0	0
4	4	0.000100	0	0	0	0	0
4	5	0.000100	0	0	0	0	0
4	6	0.000100	2	0	0	0	0
4	7	0.000100	126	128	128	128	128
5	0	0.000100	0	0	0	0	0
5	1	0.000100	0	0	0	0	0
5	2	0.000100	0	0	0	0	0
5	3	0.000100	0	0	0	0	0
5	4	0.000100	0	0	0	0	0
5	5	0.000100	0	0	0	0	0
5	6	0.000100	1	0	0	0	0
5	7	0.000100	127	128	128	128	128
6	0	0.000100	0	0	0	0	0
6	1	0.000100	0	0	0	0	0
6	2	0.000100	0	0	0	0	0
6	3	0.000100	0	0	0	0	0
6	4	0.000100	0	0	0	0	0
6	5	0.000100	0	0	0	0	0
6	6	0.000100	0	0	0	0	0
6	7	0.000100	256	256	256	256	256
7	0	0.000100	5	4	3	0	0
7	1	0.000100	0	1	1	1	0
7	2	0.000100	0	0	0	1	0
7	3	0.000100	1	0	1	1	0
7	4	0.000100	1	0	0	0	0
7	5	0.000100	7	0	0	0	0
7	6	0.000100	7	0	0	1	0
7	7	0.000100	235	251	251	252	256
