Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
3	4	-3.00	0	2	0	0	1	1
3	5	-3.00	32	7	6	5	4	0
4	0	-3.00	0	0	16	23	24	32
4	1	-3.00	0	0	1	0	0	0
4	2	-3.00	0	0	2	0	1	0
4	3	-3.00	0	0	1	0	1	0
4	4	-3.00	0	2	2	1	3	0
4	5	-3.00	32	30	10	8	3	0
5	0	-3.00	0	19	49	49	49	55
5	1	-3.00	0	0	0	0	0	2
5	2	-3.00	0	1	0	0	0	5
5	3	-3.00	0	11	0	0	0	2
5	4	-3.00	0	17	0	0	1	0
5	5	-3.00	64	16	15	15	14	0
6	0	-3.00	0	0	19	53	53	54
6	1	-3.00	0	0	1	0	0	0
6	2	-3.00	0	0	4	0	0	5
6	3	-3.00	0	0	4	0	0	3
6	4	-3.00	0	0	14	0	0	2
6	5	-3.00	64	64	22	11	11	0
7	0	-3.00	0	2	54	54	54	64
7	1	-3.00	0	0	0	0	0	0
7	2	-3.00	0	1	0	0	0	0
7	3	-3.00	0	12	0	0	0	0
7	4	-3.00	0	29	0	0	0	0
7	5	-3.00	64	20	10	10	10	0
8	0	-3.00	0	0	0	2	3	64
8	1	-3.00	0	0	0	0	7	0
8	2	-3.00	0	0	0	1	30	0
8	3	-3.00	0	0	0	1	21	0
8	4	-3.00	0	0	0	1	3	0
8	5	-3.00	64	64	64	59	0	0
0	0	-4.00	0	0	0	0	0	1
0	1	-4.00	0	0	0	0	0	0
0	2	-4.00	0	0	0	0	0	0
0	3	-4.00	0	0	0	0	0	2
0	4	-4.00	0	0	0	0	0	1
0	5	-4.00	16	16	16	16	16	12
1	0	-4.00	0	16	16	16	16	18
1	1	-4.00	0	0	0	0	0	0
1	2	-4.00	0	0	0	0	0	0
1	3	-4.00	0	0	0	0	0	1
1	4	-4.00	0	0	0	0	0	0
1	5	-4.00	32	16	16	16	16	13
2	0	-4.00	0	0	0	7	7	11
2	1	-4.00	0	0	1	0	0	0
2	2	-4.00	0	0	0	0	0	1
2	3	-4.00	0	0	0	0	0	2
2	4	-4.00	0	0	1	0	0	9
2	5	-4.00	32	32	30	25	25	9
3	0	-4.00	0	15	20	20	20	21
3	1	-4.00	0	0	0	0	0	0
3	2	-4.00	0	0	0	0	0	0
3	3	-4.00	0	1	0	0	0	2
3	4	-4.00	0	4	0	0	1	4
3	5	-4.00	32	12	12	12	11	5
4	0	-4.00	0	0	0	12	13	22
4	1	-4.00	0	0	0	0	0	2
4	2	-4.00	0	0	1	1	1	1
4	3	-4.00	0	0	1	0	1	1
4	4	-4.00	0	0	3	1	1	3
4	5	-4.00	32	32	27	18	16	3
5	0	-4.00	0	25	37	37	37	43
5	1	-4.00	0	0	0	0	0	0
5	2	-4.00	0	0	0	0	0	1
5	3	-4.00	0	6	0	0	1	2
5	4	-4.00	0	5	0	0	1	3
5	5	-4.00	64	28	27	27	25	15
6	0	-4.00	0	0	8	41	47	49
6	1	-4.00	0	0	5	0	0	0
6	2	-4.00	0	0	4	2	0	0
6	3	-4.00	0	0	2	3	0	0
6	4	-4.00	0	0	4	1	0	0
6	5	-4.00	64	64	41	17	17	15
7	0	-4.00	0	4	41	41	43	52
7	1	-4.00	0	0	1	1	1	1
7	2	-4.00	0	3	0	0	0	2
7	3	-4.00	0	13	0	0	0	1
7	4	-4.00	0	18	0	0	2	5
7	5	-4.00	64	26	22	22	18	3
8	0	-4.00	0	0	0	0	0	64
8	1	-4.00	0	0	0	0	0	0
8	2	-4.00	0	0	0	0	0	0
8	3	-4.00	0	0	0	0	1	0
8	4	-4.00	0	0	0	0	13	0
8	5	-4.00	64	64	64	64	50	0
0	0	-1.00	0	12	12	12	15	16
0	1	-1.00	0	0	0	0	0	0
0	2	-1.00	0	0	0	0	1	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	0	0	0	0	0
0	5	-1.00	16	4	4	4	0	0
1	0	-1.00	0	32	32	32	32	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	0	0	0	0	0
2	0	-1.00	0	32	32	32	32	32
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	0	0	0	0	0	0
2	4	-1.00	0	0	0	0	0	0
2	5	-1.00	32	0	0	0	0	0
3	0	-1.00	0	31	31	31	31	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	0	0	0	0
3	3	-1.00	0	0	0	0	1	0
3	4	-1.00	0	0	0	0	0	0
3	5	-1.00	32	1	1	1	0	0
4	0	-1.00	0	28	31	31	31	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	0	0	0	0	0
4	3	-1.00	0	2	0	0	1	0
4	4	-1.00	0	0	0	0	0	0
4	5	-1.00	32	2	1	1	0	0
5	0	-1.00	0	60	60	60	60	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	1	0
5	3	-1.00	0	0	0	0	1	0
5	4	-1.00	0	0	0	0	2	0
5	5	-1.00	64	4	4	4	0	0
6	0	-1.00	0	14	56	56	61	64
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	0	1	0	0	0	0
6	4	-1.00	0	2	0	0	3	0
6	5	-1.00	64	47	8	8	0	0
7	0	-1.00	0	58	58	58	58	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	0	0	0	0	0	0
7	4	-1.00	0	0	0	0	6	0
7	5	-1.00	64	6	6	6	0	0
8	0	-1.00	0	4	12	23	63	64
8	1	-1.00	0	0	0	1	1	0
8	2	-1.00	0	0	0	4	0	0
8	3	-1.00	0	0	2	5	0	0
8	4	-1.00	0	0	4	11	0	0
8	5	-1.00	64	60	46	20	0	0
0	0	-2.00	0	10	10	10	10	15
0	1	-2.00	0	0	0	0	0	1
0	2	-2.00	0	0	0	0	1	0
0	3	-2.00	0	0	0	0	0	0
0	4	-2.00	0	0	0	0	3	0
0	5	-2.00	16	6	6	6	2	0
1	0	-2.00	0	26	26	26	26	32
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	0	0	0	0	1	0
1	4	-2.00	0	0	0	0	3	0
1	5	-2.00	32	6	6	6	2	0
2	0	-2.00	0	8	26	27	27	32
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	0	1	0
2	3	-2.00	0	0	0	0	2	0
2	4	-2.00	0	9	0	0	0	0
2	5	-2.00	32	15	6	5	2	0
3	0	-2.00	0	28	28	28	29	32
3	1	-2.00	0	0	0	0	0	0
3	2	-2.00	0	0	0	0	0	0
3	3	-2.00	0	0	0	0	0	0
3	4	-2.00	0	0	0	0	1	0
3	5	-2.00	32	4	4	4	2	0
