Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	10	10	10	15	16
0	1	-1.00	0	0	0	0	1	0
0	2	-1.00	0	0	0	0	0	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	0	0	0	0	0
0	5	-1.00	16	6	6	6	0	0
1	0	-1.00	0	32	32	32	32	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	0	0	0	0	0
2	0	-1.00	0	32	32	32	32	32
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	0	0	0	0	0	0
2	4	-1.00	0	0	0	0	0	0
2	5	-1.00	32	0	0	0	0	0
3	0	-1.00	0	30	30	30	31	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	0	0	0	0
3	3	-1.00	0	0	0	0	0	0
3	4	-1.00	0	0	0	0	1	0
3	5	-1.00	32	2	2	2	0	0
4	0	-1.00	0	27	30	30	30	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	0	0	0	1	0
4	3	-1.00	0	2	0	0	1	0
4	4	-1.00	0	0	0	0	0	0
4	5	-1.00	32	3	2	2	0	0
5	0	-1.00	0	60	60	60	60	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	0	0
5	3	-1.00	0	0	0	0	3	0
5	4	-1.00	0	0	0	0	1	0
5	5	-1.00	64	4	4	4	0	0
6	0	-1.00	0	12	57	58	61	64
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	0	0	0	0	0	0
6	4	-1.00	0	8	1	0	1	0
6	5	-1.00	64	44	6	6	2	0
7	0	-1.00	0	57	58	58	58	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	0	0	0	0	3	0
7	4	-1.00	0	0	0	0	3	0
7	5	-1.00	64	7	6	6	0	0
8	0	-1.00	0	2	7	22	64	64
8	1	-1.00	0	0	0	1	0	0
8	2	-1.00	0	0	0	2	0	0
8	3	-1.00	0	0	0	7	0	0
8	4	-1.00	0	2	6	15	0	0
8	5	-1.00	64	60	51	17	0	0
0	0	-2.00	0	10	10	10	10	16
0	1	-2.00	0	0	0	0	0	0
0	2	-2.00	0	0	0	0	0	0
0	3	-2.00	0	0	0	0	1	0
0	4	-2.00	0	0	0	0	2	0
0	5	-2.00	16	6	6	6	3	0
1	0	-2.00	0	26	27	27	27	32
1	1	-2.00	0	1	0	0	0	0
1	2	-2.00	0	0	0	0	1	0
1	3	-2.00	0	0	0	0	0	0
1	4	-2.00	0	0	0	0	1	0
1	5	-2.00	32	5	5	5	3	0
2	0	-2.00	0	15	28	29	29	32
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	0	0	0
2	3	-2.00	0	2	0	0	1	0
2	4	-2.00	0	7	0	0	0	0
2	5	-2.00	32	8	4	3	2	0
3	0	-2.00	0	30	30	30	30	32
3	1	-2.00	0	0	0	0	1	0
3	2	-2.00	0	0	0	0	0	0
3	3	-2.00	0	0	0	0	0	0
3	4	-2.00	0	0	0	0	0	0
3	5	-2.00	32	2	2	2	1	0
4	0	-2.00	0	7	28	28	31	32
4	1	-2.00	0	1	0	0	0	0
4	2	-2.00	0	5	0	0	0	0
4	3	-2.00	0	4	0	0	0	0
4	4	-2.00	0	4	0	1	1	0
4	5	-2.00	32	11	4	3	0	0
5	0	-2.00	0	56	56	56	56	64
5	1	-2.00	0	0	0	0	0	0
5	2	-2.00	0	0	0	0	0	0
5	3	-2.00	0	0	0	0	0	0
5	4	-2.00	0	0	0	0	5	0
5	5	-2.00	64	8	8	8	3	0
6	0	-2.00	0	4	37	54	54	64
6	1	-2.00	0	0	0	0	0	0
6	2	-2.00	0	0	0	0	0	0
6	3	-2.00	0	0	1	0	0	0
6	4	-2.00	0	0	7	0	1	0
6	5	-2.00	64	60	19	10	9	0
7	0	-2.00	0	55	55	55	55	64
7	1	-2.00	0	0	0	0	0	0
7	2	-2.00	0	0	0	0	0	0
7	3	-2.00	0	0	0	0	0	0
7	4	-2.00	0	0	0	0	1	0
7	5	-2.00	64	9	9	9	8	0
8	0	-2.00	0	0	5	8	49	64
8	1	-2.00	0	0	0	0	6	0
8	2	-2.00	0	0	0	0	9	0
8	3	-2.00	0	0	0	0	0	0
8	4	-2.00	0	0	0	6	0	0
8	5	-2.00	64	64	59	50	0	0
0	0	-3.00	0	2	2	3	3	10
0	1	-3.00	0	1	1	0	0	2
0	2	-3.00	0	0	0	0	0	2
0	3	-3.00	0	0	0	0	1	2
0	4	-3.00	0	0	0	1	1	0
0	5	-3.00	16	13	13	12	11	0
1	0	-3.00	0	24	24	24	24	29
1	1	-3.00	0	0	0	0	0	0
1	2	-3.00	0	0	0	0	0	0
1	3	-3.00	0	0	0	0	1	1
1	4	-3.00	0	0	0	0	0	1
1	5	-3.00	32	8	8	8	7	1
2	0	-3.00	0	0	11	22	23	30
2	1	-3.00	0	0	0	1	2	0
2	2	-3.00	0	0	0	0	0	1
2	3	-3.00	0	0	0	1	0	1
2	4	-3.00	0	0	3	0	0	0
2	5	-3.00	32	32	18	8	7	0
3	0	-3.00	0	30	30	30	30	32
3	1	-3.00	0	0	0	0	0	0
3	2	-3.00	0	0	0	0	0	0
3	3	-3.00	0	0	0	0	0	0
3	4	-3.00	0	0	0	0	1	0
3	5	-3.00	32	2	2	2	1	0
4	0	-3.00	0	2	25	28	30	32
4	1	-3.00	0	0	0	0	1	0
4	2	-3.00	0	0	0	1	0	0
4	3	-3.00	0	0	0	1	0	0
4	4	-3.00	0	5	0	0	1	0
4	5	-3.00	32	25	7	2	0	0
5	0	-3.00	0	48	48	48	48	63
5	1	-3.00	0	0	0	0	0	0
5	2	-3.00	0	0	0	0	1	0
5	3	-3.00	0	0	0	0	0	1
5	4	-3.00	0	0	0	0	1	0
5	5	-3.00	64	16	16	16	14	0
6	0	-3.00	0	1	21	51	51	64
6	1	-3.00	0	0	0	0	0	0
6	2	-3.00	0	0	0	0	0	0
6	3	-3.00	0	0	0	0	0	0
6	4	-3.00	0	0	5	0	0	0
6	5	-3.00	64	63	38	13	13	0
7	0	-3.00	0	53	53	53	53	64
7	1	-3.00	0	0	0	0	0	0
7	2	-3.00	0	0	0	0	0	0
7	3	-3.00	0	0	0	0	0	0
7	4	-3.00	0	0	0	0	1	0
7	5	-3.00	64	11	11	11	10	0
8	0	-3.00	0	0	2	4	5	64
8	1	-3.00	0	0	0	0	7	0
8	2	-3.00	0	0	0	0	30	0
8	3	-3.00	0	0	0	1	17	0
8	4	-3.00	0	0	0	1	5	0
8	5	-3.00	64	64	62	58	0	0
0	0	-4.00	0	0	0	0	0	0
0	1	-4.00	0	0	0	0	0	0
0	2	-4.00	0	0	0	0	0	0
0	3	-4.00	0	0	0	0	0	0
0	4	-4.00	0	0	0	0	0	4
0	5	-4.00	16	16	16	16	16	12
1	0	-4.00	0	7	7	7	7	13
