Layer_num	sz	alpha	tau_e-0	tau_e-1	tau_e-2	tau_e-3	tau_e-4	tau_e-5
2	3	-1.00	0	0	0	0	0	0
2	4	-1.00	0	0	0	1	0	0
2	5	-1.00	0	0	0	0	0	0
2	6	-1.00	0	0	0	1	0	0
2	7	-1.00	0	0	0	0	0	0
2	8	-1.00	0	0	0	0	0	0
2	9	-1.00	0	0	0	1	0	0
2	10	-1.00	0	0	0	3	0	0
2	11	-1.00	0	0	0	1	0	0
2	12	-1.00	0	0	0	1	0	0
2	13	-1.00	0	0	0	3	0	0
2	14	-1.00	0	0	0	4	0	0
2	15	-1.00	0	0	0	4	0	0
2	16	-1.00	0	0	0	1	0	0
2	17	-1.00	0	0	1	4	0	0
2	18	-1.00	0	0	0	1	0	0
2	19	-1.00	0	1	3	2	0	0
2	20	-1.00	32	31	26	0	0	0
0	0	-2.00	0	25	27	27	27	30
0	1	-2.00	0	0	0	0	0	2
0	2	-2.00	0	0	0	0	0	0
0	3	-2.00	0	0	0	0	0	0
0	4	-2.00	0	0	0	0	0	0
0	5	-2.00	0	0	0	0	0	0
0	6	-2.00	0	0	0	0	0	0
0	7	-2.00	0	0	0	0	0	0
0	8	-2.00	0	0	0	0	0	0
0	9	-2.00	0	0	0	0	0	0
0	10	-2.00	0	0	0	0	0	0
0	11	-2.00	0	0	0	0	1	0
0	12	-2.00	0	0	0	0	0	0
0	13	-2.00	0	0	0	0	1	0
0	14	-2.00	0	1	0	0	0	0
0	15	-2.00	0	0	0	0	0	0
0	16	-2.00	0	0	0	0	1	0
0	17	-2.00	0	0	0	0	0	0
0	18	-2.00	0	1	0	0	1	0
0	19	-2.00	0	0	0	0	1	0
0	20	-2.00	32	5	5	5	0	0
1	0	-2.00	0	0	25	25	25	31
1	1	-2.00	0	0	0	0	0	1
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	0	0	0	0	0	0
1	4	-2.00	0	0	0	0	0	0
1	5	-2.00	0	0	0	0	0	0
1	6	-2.00	0	0	0	0	0	0
1	7	-2.00	0	0	0	0	0	0
1	8	-2.00	0	0	0	0	0	0
1	9	-2.00	0	0	0	0	0	0
1	10	-2.00	0	0	0	0	0	0
1	11	-2.00	0	0	0	0	0	0
1	12	-2.00	0	0	0	0	0	0
1	13	-2.00	0	0	0	0	0	0
