Layer_num	sz	alpha	tau_e-0	tau_e-1	tau_e-2	tau_e-3	tau_e-4	tau_e-5
2	11	-3.00	0	0	0	0	0	0
2	12	-3.00	0	0	2	4	0	0
2	13	-3.00	0	0	0	0	0	0
2	14	-3.00	0	0	1	0	0	0
2	15	-3.00	0	0	1	3	0	0
2	16	-3.00	0	0	0	0	0	0
2	17	-3.00	0	0	1	0	0	0
2	18	-3.00	0	0	5	1	0	0
2	19	-3.00	0	1	7	0	0	0
2	20	-3.00	32	31	7	0	0	0
0	0	-4.00	0	25	27	27	27	32
0	1	-4.00	0	0	0	0	0	0
0	2	-4.00	0	0	0	0	0	0
0	3	-4.00	0	0	0	0	0	0
0	4	-4.00	0	0	0	0	0	0
0	5	-4.00	0	0	0	0	0	0
0	6	-4.00	0	0	0	0	0	0
0	7	-4.00	0	0	0	0	1	0
0	8	-4.00	0	0	0	0	1	0
0	9	-4.00	0	0	0	0	0	0
0	10	-4.00	0	0	0	0	0	0
0	11	-4.00	0	0	0	0	1	0
0	12	-4.00	0	1	0	0	0	0
0	13	-4.00	0	1	0	0	2	0
0	14	-4.00	0	0	0	0	0	0
0	15	-4.00	0	0	0	0	0	0
0	16	-4.00	0	0	0	1	0	0
0	17	-4.00	0	0	0	0	0	0
0	18	-4.00	0	0	0	1	0	0
0	19	-4.00	0	0	0	0	0	0
0	20	-4.00	32	5	5	3	0	0
1	0	-4.00	0	0	26	26	26	31
1	1	-4.00	0	0	0	0	0	1
1	2	-4.00	0	0	0	0	0	0
1	3	-4.00	0	0	0	0	0	0
1	4	-4.00	0	0	0	0	0	0
1	5	-4.00	0	0	0	0	0	0
1	6	-4.00	0	0	0	0	0	0
1	7	-4.00	0	0	0	0	0	0
1	8	-4.00	0	0	0	0	0	0
1	9	-4.00	0	0	0	0	0	0
1	10	-4.00	0	0	0	0	0	0
1	11	-4.00	0	0	0	0	1	0
1	12	-4.00	0	0	0	0	1	0
1	13	-4.00	0	0	0	0	0	0
1	14	-4.00	0	0	0	0	1	0
1	15	-4.00	0	0	0	0	1	0
1	16	-4.00	0	0	0	0	2	0
1	17	-4.00	0	0	0	0	0	0
1	18	-4.00	0	0	0	0	0	0
1	19	-4.00	0	1	0	0	0	0
1	20	-4.00	32	31	6	6	0	0
2	0	-4.00	0	0	5	5	15	30
2	1	-4.00	0	0	0	3	9	2
2	2	-4.00	0	0	0	0	1	0
2	3	-4.00	0	0	0	0	2	0
2	4	-4.00	0	0	0	0	2	0
2	5	-4.00	0	0	0	0	1	0
2	6	-4.00	0	0	0	0	0	0
2	7	-4.00	0	0	0	0	2	0
2	8	-4.00	0	0	0	0	0	0
2	9	-4.00	0	0	0	0	0	0
2	10	-4.00	0	0	0	1	0	0
2	11	-4.00	0	0	0	1	0	0
2	12	-4.00	0	0	0	1	0	0
2	13	-4.00	0	0	0	2	0	0
2	14	-4.00	0	0	0	1	0	0
2	15	-4.00	0	0	0	3	0	0
2	16	-4.00	0	0	0	1	0	0
2	17	-4.00	0	0	1	4	0	0
2	18	-4.00	0	0	1	2	0	0
2	19	-4.00	0	1	1	7	0	0
2	20	-4.00	32	31	24	1	0	0
0	0	-5.00	0	24	25	25	25	27
0	1	-5.00	0	0	0	0	0	0
0	2	-5.00	0	0	0	0	0	1
0	3	-5.00	0	0	0	0	0	0
0	4	-5.00	0	0	0	0	0	2
0	5	-5.00	0	0	0	0	0	1
0	6	-5.00	0	0	0	0	0	1
0	7	-5.00	0	0	0	0	0	0
0	8	-5.00	0	0	0	0	1	0
0	9	-5.00	0	0	0	0	0	0
0	10	-5.00	0	0	0	0	0	0
0	11	-5.00	0	0	0	0	0	0
0	12	-5.00	0	1	0	0	0	0
0	13	-5.00	0	0	0	0	0	0
0	14	-5.00	0	0	0	0	1	0
0	15	-5.00	0	0	0	0	1	0
0	16	-5.00	0	0	0	0	0	0
0	17	-5.00	0	0	0	1	1	0
0	18	-5.00	0	0	0	0	0	0
0	19	-5.00	0	0	0	0	3	0
0	20	-5.00	32	7	7	6	0	0
1	0	-5.00	0	0	25	25	25	25
1	1	-5.00	0	0	0	0	0	2
1	2	-5.00	0	0	0	0	0	2
1	3	-5.00	0	0	0	0	0	2
1	4	-5.00	0	0	0	0	0	1
1	5	-5.00	0	0	0	0	0	0
1	6	-5.00	0	0	0	0	0	0
1	7	-5.00	0	0	0	0	0	0
1	8	-5.00	0	0	0	0	0	0
1	9	-5.00	0	0	0	0	0	0
1	10	-5.00	0	0	0	0	0	0
1	11	-5.00	0	0	0	0	0	0
1	12	-5.00	0	0	0	0	0	0
1	13	-5.00	0	0	0	0	0	0
1	14	-5.00	0	0	0	0	0	0
1	15	-5.00	0	0	0	0	0	0
1	16	-5.00	0	0	0	0	0	0
1	17	-5.00	0	0	0	0	0	0
1	18	-5.00	0	0	0	0	0	0
1	19	-5.00	0	3	0	0	3	0
1	20	-5.00	32	29	7	7	4	0
2	0	-5.00	0	0	1	2	2	30
2	1	-5.00	0	0	0	2	3	2
2	2	-5.00	0	0	0	0	1	0
2	3	-5.00	0	0	1	0	1	0
2	4	-5.00	0	0	0	0	0	0
2	5	-5.00	0	0	0	0	2	0
2	6	-5.00	0	0	0	1	1	0
2	7	-5.00	0	0	0	0	0	0
2	8	-5.00	0	0	0	0	2	0
2	9	-5.00	0	0	0	1	3	0
2	10	-5.00	0	0	0	0	0	0
2	11	-5.00	0	0	0	0	4	0
2	12	-5.00	0	0	0	0	6	0
2	13	-5.00	0	0	0	0	3	0
2	14	-5.00	0	0	0	0	0	0
2	15	-5.00	0	0	0	0	2	0
2	16	-5.00	0	0	1	0	1	0
2	17	-5.00	0	0	0	0	1	0
2	18	-5.00	0	0	0	1	0	0
2	19	-5.00	0	0	2	5	0	0
2	20	-5.00	32	32	27	20	0	0
0	0	-6.00	0	15	15	15	15	16
0	1	-6.00	0	0	0	0	0	0
0	2	-6.00	0	0	0	0	0	0
0	3	-6.00	0	0	0	0	0	0
0	4	-6.00	0	0	0	0	0	0
0	5	-6.00	0	0	0	0	0	0
0	6	-6.00	0	0	0	0	0	0
0	7	-6.00	0	0	0	0	0	1
0	8	-6.00	0	0	0	0	0	2
0	9	-6.00	0	0	0	0	0	3
0	10	-6.00	0	0	0	0	0	3
0	11	-6.00	0	0	0	0	0	2
0	12	-6.00	0	0	0	0	0	1
0	13	-6.00	0	0	0	0	0	0
0	14	-6.00	0	0	0	0	1	1
0	15	-6.00	0	0	0	0	1	0
0	16	-6.00	0	0	0	0	0	3
0	17	-6.00	0	0	0	0	1	0
0	18	-6.00	0	0	0	0	1	0
0	19	-6.00	0	0	0	0	4	0
0	20	-6.00	32	17	17	17	9	0
1	0	-6.00	0	0	22	22	22	22
1	1	-6.00	0	0	0	0	0	0
1	2	-6.00	0	0	0	0	0	0
1	3	-6.00	0	0	0	0	0	0
1	4	-6.00	0	0	0	0	0	0
1	5	-6.00	0	0	0	0	0	0
1	6	-6.00	0	0	0	0	0	0
1	7	-6.00	0	0	0	0	0	1
1	8	-6.00	0	0	0	0	0	0
1	9	-6.00	0	0	0	0	0	0
1	10	-6.00	0	0	0	0	0	0
1	11	-6.00	0	0	0	0	0	1
1	12	-6.00	0	0	0	0	0	0
1	13	-6.00	0	0	0	0	0	2
1	14	-6.00	0	0	0	0	0	1
1	15	-6.00	0	0	0	0	1	0
1	16	-6.00	0	0	0	0	0	0
1	17	-6.00	0	0	0	0	0	3
1	18	-6.00	0	0	0	0	0	1
1	19	-6.00	0	4	0	0	0	1
1	20	-6.00	32	28	10	10	9	0
2	0	-6.00	0	0	0	0	0	22
2	1	-6.00	0	0	0	0	0	8
2	2	-6.00	0	0	0	0	0	1
2	3	-6.00	0	0	0	0	0	1
2	4	-6.00	0	0	0	0	0	0
2	5	-6.00	0	0	0	0	0	0
2	6	-6.00	0	0	0	0	0	0
2	7	-6.00	0	0	0	0	0	0
2	8	-6.00	0	0	0	0	0	0
2	9	-6.00	0	0	0	0	1	0
2	10	-6.00	0	0	0	0	0	0
2	11	-6.00	0	0	0	0	0	0
2	12	-6.00	0	0	0	0	1	0
2	13	-6.00	0	0	0	0	3	0
2	14	-6.00	0	0	0	0	1	0
2	15	-6.00	0	0	0	0	2	0
2	16	-6.00	0	0	0	0	2	0
2	17	-6.00	0	0	0	0	3	0
2	18	-6.00	0	0	0	0	7	0
2	19	-6.00	0	0	0	3	10	0
2	20	-6.00	32	32	32	29	2	0
0	0	-7.00	0	0	0	0	0	0
0	1	-7.00	0	0	0	0	0	0
0	2	-7.00	0	0	0	0	0	0
0	3	-7.00	0	0	0	0	0	0
0	4	-7.00	0	0	0	0	0	0
0	5	-7.00	0	0	0	0	0	0
0	6	-7.00	0	0	0	0	0	0
0	7	-7.00	0	0	0	0	0	0
0	8	-7.00	0	0	0	0	0	0
0	9	-7.00	0	0	0	0	0	1
0	10	-7.00	0	0	0	0	0	0
0	11	-7.00	0	0	0	0	0	0
0	12	-7.00	0	0	0	0	0	0
0	13	-7.00	0	0	0	0	0	1
0	14	-7.00	0	0	0	0	0	1
0	15	-7.00	0	0	0	0	0	1
0	16	-7.00	0	0	0	0	0	2
0	17	-7.00	0	0	0	0	1	3
0	18	-7.00	0	0	0	0	0	5
0	19	-7.00	0	0	0	0	1	8
0	20	-7.00	32	32	32	32	30	10
1	0	-7.00	0	0	12	12	12	12
1	1	-7.00	0	0	0	0	0	0
1	2	-7.00	0	0	0	0	0	1
1	3	-7.00	0	0	0	0	0	0
1	4	-7.00	0	0	0	0	0	2
1	5	-7.00	0	0	0	0	0	0
1	6	-7.00	0	0	0	0	0	0
1	7	-7.00	0	0	0	0	0	0
1	8	-7.00	0	0	0	0	1	0
1	9	-7.00	0	0	0	0	0	0
1	10	-7.00	0	0	0	0	0	0
1	11	-7.00	0	0	0	0	0	0
1	12	-7.00	0	0	0	0	0	0
1	13	-7.00	0	0	0	0	0	1
1	14	-7.00	0	0	0	0	1	0
1	15	-7.00	0	0	0	0	1	0
1	16	-7.00	0	0	0	0	0	1
1	17	-7.00	0	0	0	0	0	1
1	18	-7.00	0	0	0	1	0	0
1	19	-7.00	0	3	0	0	1	2
1	20	-7.00	32	29	20	19	16	12
2	0	-7.00	0	0	0	0	0	0
2	1	-7.00	0	0	0	0	0	0
2	2	-7.00	0	0	0	0	0	0
2	3	-7.00	0	0	0	0	0	0
2	4	-7.00	0	0	0	0	0	0
2	5	-7.00	0	0	0	0	0	0
2	6	-7.00	0	0	0	0	0	0
2	7	-7.00	0	0	0	0	0	0
2	8	-7.00	0	0	0	0	0	2
2	9	-7.00	0	0	0	0	0	5
2	10	-7.00	0	0	0	0	0	2
2	11	-7.00	0	0	0	0	0	1
2	12	-7.00	0	0	0	0	0	6
2	13	-7.00	0	0	0	0	0	9
2	14	-7.00	0	0	0	0	0	4
2	15	-7.00	0	0	0	0	0	1
2	16	-7.00	0	0	0	0	0	1
2	17	-7.00	0	0	0	0	0	1
2	18	-7.00	0	0	0	0	0	0
2	19	-7.00	0	0	0	0	1	0
2	20	-7.00	32	32	32	32	31	0
0	0	-8.00	0	0	0	0	0	0
0	1	-8.00	0	0	0	0	0	0
0	2	-8.00	0	0	0	0	0	0
0	3	-8.00	0	0	0	0	0	0
0	4	-8.00	0	0	0	0	0	0
0	5	-8.00	0	0	0	0	0	0
0	6	-8.00	0	0	0	0	0	0
0	7	-8.00	0	0	0	0	0	0
0	8	-8.00	0	0	0	0	0	0
0	9	-8.00	0	0	0	0	0	0
0	10	-8.00	0	0	0	0	0	0
0	11	-8.00	0	0	0	0	0	0
0	12	-8.00	0	0	0	0	0	0
0	13	-8.00	0	0	0	0	0	0
0	14	-8.00	0	0	0	0	0	0
0	15	-8.00	0	0	0	0	0	0
0	16	-8.00	0	0	0	0	0	0
0	17	-8.00	0	0	0	0	0	0
0	18	-8.00	0	0	0	0	0	0
0	19	-8.00	0	0	0	0	0	0
0	20	-8.00	32	32	32	32	32	32
1	0	-8.00	0	0	0	0	0	0
1	1	-8.00	0	0	0	0	0	0
1	2	-8.00	0	0	0	0	0	0
1	3	-8.00	0	0	0	0	0	0
1	4	-8.00	0	0	0	0	0	0
1	5	-8.00	0	0	0	0	0	0
1	6	-8.00	0	0	0	0	0	0
1	7	-8.00	0	0	0	0	0	0
1	8	-8.00	0	0	0	0	0	0
1	9	-8.00	0	0	0	0	0	0
1	10	-8.00	0	0	0	0	0	0
1	11	-8.00	0	0	0	0	0	0
1	12	-8.00	0	0	0	0	0	0
1	13	-8.00	0	0	0	0	0	0
1	14	-8.00	0	0	0	0	0	0
1	15	-8.00	0	0	0	0	0	0
1	16	-8.00	0	0	0	0	0	0
1	17	-8.00	0	0	0	0	0	0
1	18	-8.00	0	0	0	0	0	0
1	19	-8.00	0	0	0	0	0	0
1	20	-8.00	32	32	32	32	32	32
2	0	-8.00	0	0	0	0	0	0
2	1	-8.00	0	0	0	0	0	0
2	2	-8.00	0	0	0	0	0	0
2	3	-8.00	0	0	0	0	0	0
2	4	-8.00	0	0	0	0	0	0
2	5	-8.00	0	0	0	0	0	0
2	6	-8.00	0	0	0	0	0	0
2	7	-8.00	0	0	0	0	0	0
2	8	-8.00	0	0	0	0	0	0
2	9	-8.00	0	0	0	0	0	0
2	10	-8.00	0	0	0	0	0	0
2	11	-8.00	0	0	0	0	0	0
2	12	-8.00	0	0	0	0	0	0
2	13	-8.00	0	0	0	0	0	0
2	14	-8.00	0	0	0	0	0	0
2	15	-8.00	0	0	0	0	0	0
2	16	-8.00	0	0	0	0	0	2
2	17	-8.00	0	0	0	0	0	5
2	18	-8.00	0	0	0	0	0	3
2	19	-8.00	0	0	0	0	0	10
2	20	-8.00	32	32	32	32	32	12
