-0.2	0	1.6106e+09	
-0.2	1e-05	1.2894e+09	
-0.2	0.0001	5.3129e+07	
-0.2	0.001	2.4864e+07	
-0.2	0.01	5.9655e+06	
-0.2	0.1	0	
-0.4	0	1.6106e+09	
-0.4	1e-05	1.29e+09	
-0.4	0.0001	7.2359e+07	
-0.4	0.001	2.9555e+07	
-0.4	0.01	7.4833e+06	
-0.4	0.1	0	
-0.6	0	1.6106e+09	
-0.6	1e-05	1.2797e+09	
-0.6	0.0001	6.5776e+07	
-0.6	0.001	2.0075e+07	
-0.6	0.01	7.4972e+06	
-0.6	0.1	65856	
-0.8	0	1.6106e+09	
-0.8	1e-05	1.2693e+09	
-0.8	0.0001	6.8413e+07	
-0.8	0.001	2.3081e+07	
-0.8	0.01	9.2438e+06	
-0.8	0.1	2.7754e+05	
-1	0	1.6106e+09	
-1	1e-05	1.2772e+09	
-1	0.0001	6.6704e+07	
-1	0.001	2.5652e+07	
-1	0.01	1.2124e+07	
-1	0.1	1.0349e+06	
-2	0	1.6106e+09	
-2	1e-05	1.2917e+09	
-2	0.0001	1.5728e+08	
-2	0.001	5.8102e+07	
-2	0.01	4.6857e+07	
-2	0.1	2.6945e+07	
-3	0	1.6106e+09	
-3	1e-05	1.3288e+09	
-3	0.0001	3.1926e+08	
-3	0.001	2.1391e+08	
-3	0.01	1.8857e+08	
-3	0.1	1.5403e+08	
-4	0	1.6106e+09	
-4	1e-05	1.5326e+09	
-4	0.0001	1.2127e+09	
-4	0.001	1.0774e+09	
-4	0.01	1.0228e+09	
-4	0.1	9.1283e+08	
