Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
4	0	-0.80	0	0	18	27	27	32
4	1	-0.80	0	0	3	0	0	0
4	2	-0.80	0	0	1	0	2	0
4	3	-0.80	0	0	1	0	1	0
4	4	-0.80	0	4	1	0	0	0
4	5	-0.80	32	28	8	5	2	0
5	0	-0.80	0	25	56	56	56	64
5	1	-0.80	0	0	0	0	0	0
5	2	-0.80	0	9	0	0	1	0
5	3	-0.80	0	7	0	0	0	0
5	4	-0.80	0	13	0	0	1	0
5	5	-0.80	64	10	8	8	6	0
6	0	-0.80	0	0	4	52	52	64
6	1	-0.80	0	0	1	0	0	0
6	2	-0.80	0	0	5	0	0	0
6	3	-0.80	0	0	11	0	0	0
6	4	-0.80	0	0	16	0	1	0
6	5	-0.80	64	64	27	12	11	0
7	0	-0.80	0	4	53	53	53	64
7	1	-0.80	0	0	0	0	0	0
7	2	-0.80	0	3	0	0	0	0
7	3	-0.80	0	6	0	0	0	0
7	4	-0.80	0	31	0	0	0	0
7	5	-0.80	64	20	11	11	11	0
8	0	-0.80	0	0	0	3	10	64
8	1	-0.80	0	0	0	1	16	0
8	2	-0.80	0	0	0	1	27	0
8	3	-0.80	0	0	0	1	11	0
8	4	-0.80	0	0	0	4	0	0
8	5	-0.80	64	64	64	54	0	0
0	0	-1.00	0	12	12	12	12	16
0	1	-1.00	0	0	0	0	1	0
0	2	-1.00	0	0	0	0	2	0
0	3	-1.00	0	0	0	0	1	0
0	4	-1.00	0	0	0	1	0	0
0	5	-1.00	16	4	4	3	0	0
1	0	-1.00	0	23	29	29	29	31
1	1	-1.00	0	0	0	0	0	1
1	2	-1.00	0	1	0	0	0	0
1	3	-1.00	0	4	0	0	0	0
1	4	-1.00	0	1	0	0	1	0
1	5	-1.00	32	3	3	3	2	0
2	0	-1.00	0	9	21	29	29	31
2	1	-1.00	0	3	0	1	1	1
2	2	-1.00	0	6	0	0	0	0
2	3	-1.00	0	0	0	0	0	0
2	4	-1.00	0	0	5	0	1	0
2	5	-1.00	32	14	6	2	1	0
3	0	-1.00	0	11	25	25	25	30
3	1	-1.00	0	0	0	0	0	2
3	2	-1.00	0	2	0	0	1	0
3	3	-1.00	0	3	0	0	0	0
3	4	-1.00	0	8	0	0	2	0
3	5	-1.00	32	8	7	7	4	0
4	0	-1.00	0	1	21	25	25	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	0	1	0	1	0
4	3	-1.00	0	0	0	0	1	0
4	4	-1.00	0	2	0	1	2	0
4	5	-1.00	32	29	10	6	3	0
5	0	-1.00	0	24	53	53	53	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	6	0	0	1	0
5	3	-1.00	0	11	0	0	1	0
5	4	-1.00	0	12	0	0	3	0
5	5	-1.00	64	11	11	11	6	0
6	0	-1.00	0	0	6	53	53	60
6	1	-1.00	0	0	3	0	0	3
6	2	-1.00	0	0	7	0	0	1
6	3	-1.00	0	0	10	0	0	0
6	4	-1.00	0	1	19	0	0	0
6	5	-1.00	64	63	19	11	11	0
7	0	-1.00	0	2	54	54	54	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	2	0	0	0	0
7	3	-1.00	0	5	0	0	0	0
7	4	-1.00	0	33	0	0	0	0
7	5	-1.00	64	22	10	10	10	0
8	0	-1.00	0	0	1	3	9	64
8	1	-1.00	0	0	0	0	17	0
8	2	-1.00	0	0	0	0	32	0
8	3	-1.00	0	0	0	2	6	0
8	4	-1.00	0	0	0	2	0	0
8	5	-1.00	64	64	63	57	0	0
0	0	-2.00	0	10	10	10	10	15
0	1	-2.00	0	0	0	0	0	1
0	2	-2.00	0	0	0	0	1	0
0	3	-2.00	0	0	0	0	3	0
0	4	-2.00	0	0	0	0	1	0
0	5	-2.00	16	6	6	6	1	0
1	0	-2.00	0	21	21	21	21	23
1	1	-2.00	0	0	1	1	1	0
1	2	-2.00	0	0	0	0	0	4
1	3	-2.00	0	0	0	0	0	3
1	4	-2.00	0	0	0	0	1	2
1	5	-2.00	32	11	10	10	9	0
2	0	-2.00	0	0	8	15	16	21
2	1	-2.00	0	0	0	0	1	2
2	2	-2.00	0	0	3	0	1	1
2	3	-2.00	0	0	1	0	1	5
2	4	-2.00	0	1	1	3	2	1
2	5	-2.00	32	31	19	14	11	2
3	0	-2.00	0	20	24	24	24	24
3	1	-2.00	0	0	0	0	0	3
3	2	-2.00	0	0	0	0	1	0
3	3	-2.00	0	0	0	0	0	1
3	4	-2.00	0	4	0	1	0	3
3	5	-2.00	32	8	8	7	7	1
4	0	-2.00	0	0	12	18	18	26
4	1	-2.00	0	0	0	0	1	3
4	2	-2.00	0	0	0	1	5	1
4	3	-2.00	0	0	2	0	2	0
4	4	-2.00	0	3	0	1	2	2
4	5	-2.00	32	29	18	12	4	0
5	0	-2.00	0	20	45	45	45	47
5	1	-2.00	0	0	0	0	0	3
5	2	-2.00	0	8	0	0	0	3
5	3	-2.00	0	5	0	0	1	4
5	4	-2.00	0	10	0	0	1	6
5	5	-2.00	64	21	19	19	17	1
6	0	-2.00	0	0	11	43	43	45
6	1	-2.00	0	0	1	0	0	0
6	2	-2.00	0	0	2	0	1	2
6	3	-2.00	0	0	9	0	0	0
6	4	-2.00	0	0	9	0	0	6
6	5	-2.00	64	64	32	21	20	11
7	0	-2.00	0	3	48	48	48	49
7	1	-2.00	0	0	0	1	1	3
7	2	-2.00	0	1	0	1	1	1
7	3	-2.00	0	14	0	0	0	4
7	4	-2.00	0	27	0	0	1	7
7	5	-2.00	64	19	16	14	13	0
8	0	-2.00	0	0	0	0	0	31
8	1	-2.00	0	0	0	0	4	32
8	2	-2.00	0	0	0	1	19	1
8	3	-2.00	0	0	0	2	17	0
8	4	-2.00	0	0	0	4	17	0
8	5	-2.00	64	64	64	57	7	0
0	0	-3.00	0	1	1	1	1	7
0	1	-3.00	0	0	0	0	0	0
0	2	-3.00	0	0	0	1	1	1
0	3	-3.00	0	0	0	0	0	3
0	4	-3.00	0	0	0	0	1	4
0	5	-3.00	16	15	15	14	13	1
1	0	-3.00	0	2	2	2	2	4
1	1	-3.00	0	0	0	0	1	1
1	2	-3.00	0	0	0	0	0	0
1	3	-3.00	0	0	0	0	1	0
1	4	-3.00	0	0	0	1	1	5
1	5	-3.00	32	30	30	29	27	22
2	0	-3.00	0	0	0	0	0	0
2	1	-3.00	0	0	0	0	0	0
2	2	-3.00	0	0	0	0	0	1
2	3	-3.00	0	0	0	0	0	0
2	4	-3.00	0	0	0	0	1	4
2	5	-3.00	32	32	32	32	31	27
3	0	-3.00	0	0	2	2	2	2
