-0.2	0	4.0266e+08	
-0.2	1e-05	2.3722e+08	
-0.2	0.0001	3.3445e+06	
-0.2	0.001	2.1646e+06	
-0.2	0.01	8.3104e+05	
-0.2	0.1	0	
-0.5	0	4.0266e+08	
-0.5	1e-05	2.5406e+08	
-0.5	0.0001	6.0866e+06	
-0.5	0.001	4.1917e+06	
-0.5	0.01	1.6605e+06	
-0.5	0.1	0	
-1	0	4.0266e+08	
-1	1e-05	2.5932e+08	
-1	0.0001	1.3547e+07	
-1	0.001	6.5635e+06	
-1	0.01	3.4396e+06	
-1	0.1	0	
-1.5	0	4.0266e+08	
-1.5	1e-05	2.7733e+08	
-1.5	0.0001	2.5303e+07	
-1.5	0.001	1.0365e+07	
-1.5	0.01	6.7016e+06	
-1.5	0.1	2.0266e+05	
-2	0	4.0266e+08	
-2	1e-05	2.6852e+08	
-2	0.0001	5.0575e+07	
-2	0.001	2.0928e+07	
-2	0.01	1.6338e+07	
-2	0.1	4.9133e+06	
