-0.2	0	4.0266e+08	
-0.2	1e-05	8.0852e+06	
-0.2	0.0001	6.8096e+06	
-0.2	0.001	3.0333e+06	
-0.2	0.01	2.0854e+05	
-0.2	0.1	0	
-0.4	0	4.0266e+08	
-0.4	1e-05	9.2722e+06	
-0.4	0.0001	7.3345e+06	
-0.4	0.001	3.4463e+06	
-0.4	0.01	1.715e+05	
-0.4	0.1	0	
-0.6	0	4.0266e+08	
-0.6	1e-05	9.3002e+06	
-0.6	0.0001	6.8134e+06	
-0.6	0.001	6.2095e+06	
-0.6	0.01	2.1658e+05	
-0.6	0.1	0	
-0.8	0	4.0266e+08	
-0.8	1e-05	2.0805e+07	
-0.8	0.0001	1.0241e+07	
-0.8	0.001	4.7346e+06	
-0.8	0.01	2.7342e+05	
-0.8	0.1	0	
-1	0	4.0266e+08	
-1	1e-05	1.3702e+07	
-1	0.0001	7.0783e+06	
-1	0.001	7.0415e+06	
-1	0.01	1.235e+06	
-1	0.1	0	
