-0.2	0	6.5229e+08	
-0.2	1e-05	4.4328e+08	
-0.2	0.0001	1.1725e+08	
-0.2	0.001	8.9345e+07	
-0.2	0.01	4.8376e+07	
-0.2	0.1	4.1317e+05	
-0.4	0	6.5229e+08	
-0.4	1e-05	4.5417e+08	
-0.4	0.0001	1.3631e+08	
-0.4	0.001	1.106e+08	
-0.4	0.01	6.4042e+07	
-0.4	0.1	1.8769e+06	
-0.6	0	6.5229e+08	
-0.6	1e-05	4.3379e+08	
-0.6	0.0001	1.178e+08	
-0.6	0.001	1.0174e+08	
-0.6	0.01	6.7266e+07	
-0.6	0.1	4.6232e+06	
-0.8	0	6.5229e+08	
-0.8	1e-05	4.8437e+08	
-0.8	0.0001	1.5644e+08	
-0.8	0.001	1.3321e+08	
-0.8	0.01	9.4493e+07	
-0.8	0.1	1.0097e+07	
-1	0	6.5229e+08	
-1	1e-05	4.9516e+08	
-1	0.0001	1.4666e+08	
-1	0.001	1.2993e+08	
-1	0.01	1.0745e+08	
-1	0.1	2.1449e+07	
-2	0	6.5229e+08	
-2	1e-05	6.1827e+08	
-2	0.0001	3.5254e+08	
-2	0.001	3.3349e+08	
-2	0.01	2.993e+08	
-2	0.1	1.6009e+08	
-3	0	6.5229e+08	
-3	1e-05	6.5229e+08	
-3	0.0001	6.5229e+08	
-3	0.001	6.5131e+08	
-3	0.01	6.1847e+08	
-3	0.1	5.285e+08	
-4	0	6.5229e+08	
-4	1e-05	6.5229e+08	
-4	0.0001	6.5229e+08	
-4	0.001	6.5229e+08	
-4	0.01	6.5229e+08	
-4	0.1	6.5229e+08	
