-3	0	4.055e+07	
-3	1e-05	1.6619e+07	
-3	0.0001	1.3426e+07	
-3	0.001	1.1696e+07	
-3	0.01	8.2079e+06	
-3	0.1	4.5181e+06	
-3.2	0	4.055e+07	
-3.2	1e-05	1.9215e+07	
-3.2	0.0001	1.8864e+07	
-3.2	0.001	1.8179e+07	
-3.2	0.01	1.4467e+07	
-3.2	0.1	9.08e+06	
-3.4	0	4.055e+07	
-3.4	1e-05	2.9088e+07	
-3.4	0.0001	2.8989e+07	
-3.4	0.001	2.8565e+07	
-3.4	0.01	2.478e+07	
-3.4	0.1	1.7966e+07	
-3.6	0	4.055e+07	
-3.6	1e-05	3.5822e+07	
-3.6	0.0001	3.552e+07	
-3.6	0.001	3.4991e+07	
-3.6	0.01	3.2995e+07	
-3.6	0.1	2.6395e+07	
-3.8	0	4.055e+07	
-3.8	1e-05	3.9678e+07	
-3.8	0.0001	3.9183e+07	
-3.8	0.001	3.899e+07	
-3.8	0.01	3.878e+07	
-3.8	0.1	3.6725e+07	
-4	0	4.055e+07	
-4	1e-05	4.0499e+07	
-4	0.0001	4.004e+07	
-4	0.001	3.9946e+07	
-4	0.01	3.9901e+07	
-4	0.1	3.9566e+07	
